Uberon ID	Uberon name	9606
BFO:0000030	object	F
BFO:0000040	material entity	F
CARO:0000003	CARO_0000003	F
CHEBI:15440	squalene	T
CHEBI:16247	phospholipid	F
CHEBI:16526	carbon dioxide	T
CHEBI:16646	carbohydrate	F
CHEBI:16990	bilirubin	T
CHEBI:17029	chitin	T
CHEBI:17089	glycoprotein	T
CHEBI:17761	ceramide	F
CHEBI:18059	lipid	T
CHEBI:18085	glycosaminoglycan	T
CHEBI:18154	polysaccharide	F
CHEBI:18246	(1->4)-beta-D-glucan	T
CHEBI:21638	N-acylglucosamine	F
CHEBI:21656	N-acyl-hexosamine	F
CHEBI:22478	amino alcohol	F
CHEBI:22506	aminoglycan	F
CHEBI:22868	bile salt	T
CHEBI:22985	calcium molecular entity	F
CHEBI:23014	carbon oxide	F
CHEBI:23016	carbonates	F
CHEBI:23044	carotenoid	F
CHEBI:23045	carotenol	F
CHEBI:23079	cerebroside	F
CHEBI:23213	choline ester	F
CHEBI:23217	cholines	F
CHEBI:23367	molecular entity	F
CHEBI:23981	ethanolamines	F
CHEBI:24271	glucosamines	F
CHEBI:24402	glycosphingolipid	F
CHEBI:24431	chemical entity	F
CHEBI:24532	organic heterocyclic compound	F
CHEBI:24586	hexosamine	F
CHEBI:24632	hydrocarbon	F
CHEBI:24651	hydroxides	F
CHEBI:24833	oxoacid	F
CHEBI:24866	salt	F
CHEBI:24868	organic salt	F
CHEBI:24870	ion	F
CHEBI:24913	isoprenoid	F
CHEBI:25046	linear tetrapyrrole	F
CHEBI:25367	molecule	F
CHEBI:25513	neutral glycosphingolipid	F
CHEBI:25585	nonmetal atom	F
CHEBI:25701	organic oxide	F
CHEBI:25703	organic phosphate	F
CHEBI:25704	organic sulfate	F
CHEBI:25710	organophosphorus compound	F
CHEBI:25741	oxide	F
CHEBI:25805	oxygen atom	T
CHEBI:25806	oxygen molecular entity	F
CHEBI:26020	phosphate	F
CHEBI:26079	phosphoric acid derivative	F
CHEBI:26082	phosphorus molecular entity	F
CHEBI:26214	porphyrins	F
CHEBI:26469	quaternary nitrogen compound	F
CHEBI:26712	sodium molecular entity	F
CHEBI:26714	sodium salt	F
CHEBI:26739	sphingolipid	F
CHEBI:26819	sulfuric ester	F
CHEBI:26820	sulfates	F
CHEBI:26835	sulfur molecular entity	F
CHEBI:26873	terpenoid	F
CHEBI:26932	tetrapyrrole	F
CHEBI:26935	tetraterpenoid	F
CHEBI:27325	xanthophyll	F
CHEBI:27369	zwitterion	F
CHEBI:27547	zeaxanthin	T
CHEBI:28793	beta-D-glucan	F
CHEBI:28838	lutein	T
CHEBI:28963	amino sugar	F
CHEBI:30879	alcohol	F
CHEBI:32988	amide	F
CHEBI:3311	calcium carbonate	T
CHEBI:33241	oxoacid derivative	F
CHEBI:33245	organic fundamental parent	F
CHEBI:33250	atom	F
CHEBI:33256	primary amide	F
CHEBI:33261	organosulfur compound	F
CHEBI:33285	heteroorganic entity	F
CHEBI:33296	alkali metal molecular entity	F
CHEBI:33299	alkaline earth molecular entity	F
CHEBI:33302	pnictogen molecular entity	F
CHEBI:33303	chalcogen	F
CHEBI:33304	chalcogen molecular entity	F
CHEBI:33318	main group element atom	F
CHEBI:33424	sulfur oxoacid derivative	F
CHEBI:33560	p-block element atom	F
CHEBI:33563	glycolipid	F
CHEBI:33575	carboxylic acid	F
CHEBI:33579	main group molecular entity	F
CHEBI:33582	carbon group molecular entity	F
CHEBI:33595	cyclic compound	F
CHEBI:33608	hydrogen molecular entity	F
CHEBI:33635	polycyclic compound	F
CHEBI:33655	aromatic compound	F
CHEBI:33659	organic aromatic compound	F
CHEBI:33674	s-block molecular entity	F
CHEBI:33675	p-block molecular entity	F
CHEBI:33692	hydrides	F
CHEBI:33694	biomacromolecule	F
CHEBI:33695	information biomacromolecule	F
CHEBI:33702	polyatomic cation	F
CHEBI:33822	organic hydroxy compound	F
CHEBI:33832	organic cyclic compound	F
CHEBI:33833	heteroarene	F
CHEBI:33837	conjugated protein	F
CHEBI:33839	macromolecule	F
CHEBI:35156	calcium salt	T
CHEBI:35186	terpene	F
CHEBI:35191	triterpene	F
CHEBI:35267	quaternary ammonium ion	F
CHEBI:35274	ammonium ion	F
CHEBI:35281	onium betaine	F
CHEBI:35284	ammonium betaine	F
CHEBI:35341	steroid	F
CHEBI:35352	organonitrogen compound	F
CHEBI:35479	alkali metal salt	F
CHEBI:35507	natural product fundamental parent	F
CHEBI:35605	carbon oxoacid	F
CHEBI:35692	dicarboxylic acid	F
CHEBI:35701	ester	F
CHEBI:35722	sulfated glycosaminoglycan	T
CHEBI:35724	carbohydrate sulfate	F
CHEBI:35740	liposaccharide	F
CHEBI:35786	phosphosphingolipid	F
CHEBI:35794	tetrapyrrole fundamental parent	F
CHEBI:36078	cholanoid	F
CHEBI:36080	protein	F
CHEBI:36277	bile acid salt	T
CHEBI:36309	cyclic tetrapyrrole	F
CHEBI:36357	polyatomic entity	F
CHEBI:36358	polyatomic ion	F
CHEBI:36359	phosphorus oxoacid derivative	F
CHEBI:36360	phosphorus oxoacids and derivatives	F
CHEBI:36364	alkaline earth salt	F
CHEBI:36498	galactosylceramide	T
CHEBI:36586	carbonyl compound	F
CHEBI:36587	organic oxo compound	F
CHEBI:36700	phosphocholines	F
CHEBI:36735	biladienes	F
CHEBI:36916	cation	F
CHEBI:36962	organochalcogen compound	F
CHEBI:36963	organooxygen compound	F
CHEBI:37163	glucan	F
CHEBI:37164	homopolysaccharide	F
CHEBI:37175	organic hydride	F
CHEBI:37395	mucopolysaccharide	T
CHEBI:37397	chondroitin sulfate	T
CHEBI:37577	heteroatomic molecular entity	F
CHEBI:37622	carboxamide	F
CHEBI:37734	phosphoric ester	F
CHEBI:37826	sulfuric acid derivative	F
CHEBI:38077	polypyrrole	F
CHEBI:38101	organonitrogen heterocyclic compound	F
CHEBI:38700	organic sodium salt	F
CHEBI:39022	inclusion compound	F
CHEBI:39024	clathrate compound	F
CHEBI:46662	mineral	F
CHEBI:46721	carbonate salt	F
CHEBI:46723	phosphate mineral	F
CHEBI:47882	cyclic polypyrrole	F
CHEBI:50047	organic amino compound	F
CHEBI:50860	organic molecular entity	F
CHEBI:50967	non-covalently-bound molecular entity	F
CHEBI:51143	nitrogen molecular entity	F
CHEBI:51151	dipolar compound	F
CHEBI:51958	organic polycyclic compound	F
CHEBI:52254	apatite	F
CHEBI:52255	hydroxylapatite	T
CHEBI:5254	galactolipid	F
CHEBI:5686	heterocyclic compound	F
CHEBI:59999	chemical substance	T
CHEBI:60924	keratan sulfate	T
CHEBI:60926	amino monosaccharide	F
CHEBI:62941	glycosylceramide	F
CHEBI:63299	carbohydrate derivative	F
CHEBI:64583	sphingomyelin	T
