uberon_id	uberon_name	positive_evidence	no_negative_evidence
UBERON:0011624	superior horn of thyroid cartilage	1	1
UBERON:0001642	superior sagittal sinus	1	1
UBERON:0013695	colon endothelium	0	1
UBERON:0001111	intercostal muscle	1	1
UBERON:2001813	preopercular sensory canal	0	0
UBERON:0001302	right uterine tube	1	1
UBERON:3000131	dilatatio alaris	0	1
UBERON:3010693	ramus posterior profundus of V3	0	1
UBERON:0003866	middle phalanx of pes	1	1
UBERON:0012248	cervical mucosa	0	1
UBERON:0003086	caudal artery	0	0
UBERON:0010726	os vesalianum manus	0	1
UBERON:0013590	cruciate sulcus	0	1
UBERON:0011915	cerebellar glomerulus	0	1
UBERON:0016855	ventral part of optic cup	1	1
UBERON:5103635	pedal digit 5 digitopodial skeleton	1	1
UBERON:0014904	intersegmental pulmonary vein	1	1
UBERON:0034971	aortic body	0	1
UBERON:2001533	pharyngobranchial cartilage	0	1
UBERON:0016426	proximal interphalangeal joint of little finger	1	1
UBERON:0011264	femoral pore	0	0
UBERON:0018271	type 4 adrenal tissue	0	1
UBERON:4200208	pectoral fin intermediate radial bone	0	0
UBERON:0001287	proximal convoluted tubule	1	1
UBERON:4200206	internal rim of coracoid foramen	0	0
UBERON:0015846	incisor mesenchyme	1	1
UBERON:2002017	anterior limb of ceratobranchial 5 bone	0	1
UBERON:0035514	special sense organ system	1	1
UBERON:0006290	scapula cartilage element	1	1
UBERON:3010074	M. ileo-femoralis	0	1
UBERON:2000743	epaxial region somite 2	0	1
UBERON:0002638	medial pulvinar nucleus	1	1
UBERON:0008304	inner chondrogenic layer of perichondrium	0	1
UBERON:0006227	ethmoid bone primordium	1	1
UBERON:0002850	seventh thoracic dorsal root ganglion	1	1
UBERON:0008523	infrahyoid muscle	1	1
UBERON:0007179	basal cell layer of urothelium	1	1
UBERON:0024046	superficial feature part of the cerebellum	0	1
UBERON:0018264	dorsal lateral ganglionic eminence	0	1
UBERON:3000583	sulcus for Meckels cartilage	0	1
UBERON:2000102	dorsal fin fold	0	1
UBERON:0034898	alveolar ridge of premaxilla	0	1
UBERON:0015233	nucleus of dorsal thalamus	1	1
UBERON:0011683	adductor mandibulae	0	1
UBERON:0008276	plastron	0	0
UBERON:2000116	macula lagena	0	1
UBERON:0009610	forebrain neural plate	0	1
UBERON:0004865	actinopterygian parietal bone	0	1
UBERON:0002261	dorsal root of spinal cord	1	1
UBERON:0015848	incisor tusk	0	1
UBERON:0004924	submucosa of pharynx	1	1
UBERON:0001284	renal column	1	1
UBERON:0001228	renal papilla	1	1
UBERON:0005349	paramedian lobule	1	1
UBERON:0004734	gastrula	1	1
UBERON:2005385	dorsal fin proximal radial bone 8	0	0
UBERON:2001269	regenerating fin/limb	0	1
UBERON:0002184	segmental bronchus	1	1
UBERON:0009712	endocardium of right ventricle	1	1
UBERON:3010085	postrictal protuberances	0	1
UBERON:0001217	ileal vein	1	1
UBERON:0009473	parapodium	0	0
UBERON:0011621	thyrohyoid cartilage	0	1
UBERON:0006718	medial pterygoid muscle	1	1
UBERON:2000362	hypaxialis	0	1
UBERON:0003659	pedal digit muscle	0	1
UBERON:0016923	preductal region of aortic arch	1	1
UBERON:0002830	anteroventral cochlear nucleus	1	1
UBERON:0013230	nictitans gland	0	0
UBERON:0008242	lower back muscle	0	1
UBERON:0011620	basihyal lingual process	0	1
UBERON:0009496	intrahepatic part of biliary bud	1	1
UBERON:0015783	smooth muscle layer in fatty layer of subcutaneous tissue	1	1
UBERON:0006461	second sacral spinal cord segment	1	1
UBERON:0015121	left outer canthus	1	1
UBERON:0004233	lower respiratory tract smooth muscle	1	1
UBERON:3000069	cartilago infranarina	0	1
UBERON:0009055	closed circulatory system	0	1
UBERON:0002717	rostral interstitial nucleus of medial longitudinal fasciculus	1	1
UBERON:0015119	scolex	0	0
UBERON:0000127	facial nucleus	1	1
UBERON:0010885	hindlimb cartilage element	1	1
UBERON:2000497	pelvic adductor profundus	0	1
UBERON:0010585	pedal digit phalanx pre-cartilage condensation	1	1
UBERON:0001443	chest	1	1
UBERON:0002903	lunate sulcus	1	1
UBERON:0014708	costal plate of carapace	0	0
UBERON:0001118	lobe of thyroid gland	1	1
UBERON:0015131	subepithelial connective tissue of prostatic gland	1	1
UBERON:0011380	female external urethral sphincter	1	1
UBERON:2005103	presumptive ventral fin fold	0	1
UBERON:0000432	endopeduncular nucleus	1	1
UBERON:2001706	infraorbital 11	0	1
UBERON:2001753	posttemporal fossa	0	1
UBERON:0006074	lumbar region of vertebral column	1	1
UBERON:0011826	vestibular gland	1	1
UBERON:0016517	lumen of jejunum	1	1
UBERON:0009995	tertiary chorionic villus	0	1
UBERON:4300102	postcleithral scale	0	0
UBERON:0002859	fifth lumbar dorsal root ganglion	1	1
UBERON:0005672	right lung endothelium	1	1
UBERON:0005598	trunk somite	1	1
UBERON:2002008	neural lamina	0	1
UBERON:2002133	dorsal organ	0	1
UBERON:0014392	sweat of palm	1	1
UBERON:0013233	supraorbital gland	0	0
UBERON:0010356	primary ossification center	1	1
UBERON:0002164	tectobulbar tract	1	1
UBERON:0016516	lamina propria of prostatic urethra	1	1
UBERON:0006252	intersubcardinal venous anastomosis	1	1
UBERON:0009621	tail somite	0	1
UBERON:0002732	longitudinal pontine fibers	1	1
UBERON:2000647	dorsal caudal thalamic nucleus	0	1
UBERON:0001738	thyroid cartilage	1	1
UBERON:0002965	rostral intralaminar nuclear group	1	1
UBERON:0008449	trochlear notch	1	1
UBERON:2101819	dorsal fin proximal radial element 2	0	0
UBERON:0016832	paratrigeminal nucleus	1	1
UBERON:3010590	amphibian cloacal gland	0	1
UBERON:0006478	Brodmann (1909) area 37	1	1
UBERON:3010829	sulcus intermedius	0	1
UBERON:2002109	uroneural 2	0	0
UBERON:0000945	stomach	1	1
UBERON:0005884	hyoid arch skeleton	1	1
UBERON:0004232	lymphatic vessel smooth muscle	0	1
UBERON:0003511	iris blood vessel	0	1
UBERON:0003315	mesenchyme of ovary	1	1
UBERON:2000232	lateral semicircular canal primordium	0	1
UBERON:0007126	pharyngeal pouch 5	0	1
UBERON:0005316	endocardial endothelium	1	1
UBERON:0002215	synchondrosis	1	1
UBERON:0013713	posterior iliac spine	1	1
UBERON:4000108	non-mineralized hyaline cartilage tissue	0	1
UBERON:0013469	external occipital protuberance	1	1
UBERON:0009676	early telencephalic vesicle	1	1
UBERON:0012269	equine hindlimb splint bone	0	0
UBERON:0011756	male genital swelling	1	1
UBERON:0013710	posterior superior iliac spine	1	1
UBERON:0016467	antitragus	1	1
UBERON:4200000	medial blade of ilium	0	1
UBERON:0015895	proximal deep inguinal lymph node	1	1
UBERON:0009038	sulcus ampullaris	1	1
UBERON:0014531	white matter lamina of diencephalon	1	1
UBERON:0004052	quadrigeminal cistern	1	1
UBERON:0005733	limb field	0	1
UBERON:0003066	pharyngeal arch 2	1	1
UBERON:0001552	kidney arcuate artery	0	1
UBERON:0010124	future inferior salivatory nucleus	1	1
UBERON:0004548	left eye	1	1
UBERON:2001788	pelvic splint	0	0
UBERON:0002168	left lung	1	1
UBERON:0027368	matrix compartment	0	1
UBERON:0018652	maxillary recess	0	0
UBERON:0011165	crico-esophageal tendon	1	1
UBERON:0003890	Mullerian duct	1	1
UBERON:0016551	subdivision of spinal cord ventral column	1	1
UBERON:0001225	cortex of kidney	1	1
UBERON:2001793	pharyngobranchial 4 bone uncinate process	0	1
UBERON:0007324	pancreatic lobule	1	1
UBERON:0014725	intercalated duct	1	1
UBERON:0013506	cervical vertebra pre-cartilage condensation	1	1
UBERON:0004632	thoracic vertebra 7	1	1
UBERON:2000895	hypaxial region somite 18	0	1
UBERON:0018154	ligament of middle ear	0	1
UBERON:0001548	lateral marginal vein	1	1
UBERON:3000874	crista ischii	0	1
UBERON:0008943	headfoot	0	0
UBERON:0010090	future falx cerebri	1	1
UBERON:0003905	bursal follicle	0	0
UBERON:0004716	conceptus	1	1
UBERON:0003083	trunk neural crest	1	1
UBERON:2001996	maxillary canal	0	1
UBERON:0011088	ligament of knee joint	1	1
UBERON:0004907	lower digestive tract	1	1
UBERON:0002586	calcarine sulcus	1	1
UBERON:3010501	duodeno-pancreatic artery	0	1
UBERON:0012361	internal anal region	1	1
UBERON:0014533	medullary lamina of thalamus	1	1
UBERON:0035577	paracommissural periventricular pretectal nucleus	0	0
UBERON:0006451	fourth lumbar spinal cord segment	1	1
UBERON:0002004	trunk of sciatic nerve	1	1
UBERON:0013423	jugal point	0	1
UBERON:0008270	mollusc shell	0	0
UBERON:0034943	saccus vasculosus	0	0
UBERON:0008367	breast epithelium	0	1
UBERON:0012421	urodeum	0	0
UBERON:0012321	deep cervical artery	1	1
UBERON:0010515	brille	0	0
UBERON:0006516	dorsal pallidum	1	1
UBERON:3010771	ventral sympathetic chain	0	1
UBERON:0005408	circumventricular organ	1	1
UBERON:0005573	rhombomere 3 floor plate	1	1
UBERON:0009870	zone of stomach	1	1
UBERON:0014759	entopallium	0	0
UBERON:0002853	tenth thoracic dorsal root ganglion	1	1
UBERON:0001266	splenic cord	1	1
UBERON:0003372	pectoral appendage bud ectoderm	1	1
UBERON:0002606	neuropil	1	1
UBERON:0023564	cytoarchitectural part of dentate gyrus	0	1
UBERON:4100016	posterior process of ilium	0	1
UBERON:0009635	parachordal cartilage	1	1
UBERON:0000025	tube	1	1
UBERON:0018278	epidermal egg tooth	0	0
UBERON:0006137	proper palmar digital artery	1	1
UBERON:0001832	sublingual gland	1	1
UBERON:0009484	dorsal mesentery of mesentery of foregut-midgut junction	1	1
UBERON:0011579	venom gland	0	1
UBERON:2001861	epibranchial 3-pharyngobranchial 3 joint	0	1
UBERON:0006006	metoptic pilar	0	1
UBERON:0002032	areola	1	1
UBERON:0002396	vomer	1	1
UBERON:4200043	brevis fossa	0	1
UBERON:0000320	duodenal mucosa	1	1
UBERON:0010548	pedal digit 2 metatarsal pre-cartilage condensation	1	1
UBERON:0008878	palmar part of manus	1	1
UBERON:0004764	intramembranous bone tissue	0	1
UBERON:0009495	extrahepatic part of biliary bud	1	1
UBERON:0010521	electroreceptor organ	0	1
UBERON:0011745	pulmonary valve leaflets	0	1
UBERON:0009973	ureterovesical junction	1	1
UBERON:0003321	mesenchyme of knee	1	1
UBERON:0013426	obelion	1	1
UBERON:0016405	pulmonary capillary	1	1
UBERON:0000161	orifice	1	1
UBERON:0005729	pectoral appendage field	1	1
UBERON:0000377	maxillary nerve	1	1
UBERON:0022351	parietal serous membrane	1	1
UBERON:2002216	otic vesicle ventral protrusion	0	1
UBERON:2001690	anterior cartilage of palatine	0	1
UBERON:0011137	axial skeletal system	1	1
UBERON:0003133	reproductive organ	1	1
UBERON:0018155	posterior incudal ligament	0	1
UBERON:0014875	distal epiphysis of distal phalanx of pedal digit 5	1	1
UBERON:0013701	main body axis	1	1
UBERON:0035563	magnocellular superficial pretectal nucleus	0	0
UBERON:0015180	neck of talus	1	1
UBERON:0004145	outflow tract	1	1
UBERON:0004919	external urethral sphincter	1	1
UBERON:0007359	ruminant forestomach	0	0
UBERON:0002414	lumbar vertebra	1	1
UBERON:0010684	pedal digit 5 phalanx cartilage element	1	1
UBERON:0007132	head kidney	0	1
UBERON:2001274	coronomeckelian	0	1
UBERON:0009713	endocardium of left ventricle	1	1
UBERON:0015043	manual digit 1 metacarpus endochondral element	1	1
UBERON:2000734	preural vertebra	0	0
UBERON:0013526	otocyst lumen	1	1
UBERON:0007530	migrating mesenchyme population	1	1
UBERON:2001592	claustrum bone	0	1
UBERON:0002109	pair of nares	1	1
UBERON:0015181	neck of tooth	1	1
UBERON:3000527	quadrate process of palatoquadrate	0	1
UBERON:0006749	superior parathyroid gland	1	1
UBERON:0010938	muscle belly	1	1
UBERON:0001893	telencephalon	1	1
UBERON:2005083	ventral branch nasal ciliary artery	0	1
UBERON:0014770	palpebral artery	1	1
UBERON:0003885	mesometrium	1	1
UBERON:0005298	skin of clitoris	1	1
UBERON:0017156	flexor cruris lateralis muscle	0	1
UBERON:0015479	scrotum skin	1	1
UBERON:0008946	lung parenchyma	1	1
UBERON:0024151	tegmentum	0	1
UBERON:0008595	levator anguli oris	1	1
UBERON:2002050	Schreckstoff	0	1
